Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.ts;23,0;28,395;0,842;46,919;118517,795;441,0;6584,322;53,0;2526,013;37,0;217,0;"aop,serviceArguments,callArguments,unAop,serviceContext,hookName,bringToFrontService,bringToBackService,menuManageHook,context,menuConfig,returnPuzzleService,MenuManagerService,false,constructor,createHook,initializeHint,""include"",callArguemnts,createdHook,PuzzleControllerManagerService2,helpPuzzleService,aroundMethod,args,0,1,2,initializeBringToBack,3,null,""applyToMe"",PuzzleControllerManagerService,true,getArguments,initializeReturn,initializeBringToFront,""APPLY""";16,0;224,0;(),new,[],{},const,this,,,.,else,function=>,:,class,=,if,===,return;100,0;81,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,""PuzzleAlgorithmManagerService"",PuzzleAlgorithmManagerService,configureTestingModule,service,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;8,0;25,0;0,352;15,714;16590,406;181,0;921,689;57,0;1055,753;42,0;88,0;"puzzleAlgorithmHook,algorithms,""Anti jigsaw"",aop,drawBordersService2,log,""includeOptions"",""ANTI-JIGSAW"",PuzzleGeneratorQuadroService2,serviceContext,""Old jigsaw"",hookName,""name"",context,indexOf,""JIGSAW2"",newGameConfigurationService,console,""Old jigsaw 2"",constructor,createHook,""JIGSAW"",shufflePuzzlesService,store,""include"",setAlgorithms,push,""Initializing algorithm variants!"",aroundMethod,args,""AOP: Selecting new Puzzle algorithms!!!"",1,PuzzleAlgorithmManagerService,null,""applyToMe"",GameConfigurationService,""instance"",PuzzleGeneratorQuadroService,drawBordersService,true,initialize,config";15,0;93,0;(),new,[],{},const,- (prefix),this,.,function=>,:,class,=,if,>,return;52,0;32,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\variable-settings-config.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"VariableSettingsConfigService,TestBed,""should be created"",beforeEach,expect,configureTestingModule,service,toBeTruthy,describe,VariableSettingsConfigService,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\variable-settings-config.service.ts;27,0;27,835;0,842;35,673;90089,633;408,0;5004,98;73,0;2525,448;55,0;218,0;"Zoom,""componentRef"",aop,unAop,manageZoomConfig,configList,hookName,ZoomManagementBottomSheetComponent,RoutingModelMock,configDocument,context,indexOf,getAdditionalRoutingConfigurationFile,ZoomManagementComponent,constructor,createHook,VariableSettingsConfigService,""bottomSheetComponent"",push,aroundMethod,0,1,true,""/puzzle/zoom"",""zoom"",""/puzzle/gallery"",""Load image"",""loadImage"",JSON,manageImageLoaderConfig,""name"",""componentPathInModule"",""/puzzle/loadImage"",GalleryBottomSheetComponent,""Gallery"",original,loadGalleryConfig,""path"",false,length,InsertTemplateImageBottomSheetComponent,InsertTemplateImageComponent,manageMenuConfigHook,""include"",""gallery"",createdHook,menu,""getRoutingModelData"",args,loadImageConfig,manageGalleryConfig,unshift,stringify,config,GalleryComponent";18,0;190,0;||,(),!==,[],{},static,const,- (prefix),.,forof,function=>,:,let,class,if,=,===,return;111,0;97,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",ZoomSettingsConfigService,beforeEach,expect,configureTestingModule,""ZoomSettingsConfigService"",service,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\zoom-settings-config.service.ts;23,0;29,487;0,777;24,167;56353,869;371,0;3130,77;78,0;2331,884;63,0;203,0;"instance,aop,setCenterX,setCenterY,componentFactoryService,manageZoomConfig,unAop,hookName,insertBefore,children,positionAfterHeading,initializeZoomCoordinates,context,centerXEmitter,""getComponentElement"",indexOf,centerYEmitter,setZoomValue,item,ZoomManagementComponent,constructor,createHook,SetZoomComponent,VariableSettingsConfigService,manageZoomConfigHook,push,aroundMethod,instantiateZoomValue,0,zoomRef,1,true,""getCanvasElement"",nativeElement,zoomCoordinatesRef,initializeZoomValue,zoomValueRef,undefined,zoomingFunctionality,result,Function,zoomHTML,createComponent,ZoomSettingsConfigService,manageZoomValueConfigHook,original,subscribe,false,instantiateZoomCoordinates,componentRef,puzzleBoardHTML,""include"",createdHook,domLocation,args,call,SetZoomPositionComponent,func,zoomEmitter,location,initialize,config,ZoomBlockComponent";15,0;168,0;(),[],const,- (prefix),this,.,forof,function,function=>,let,class,=,if,===,return;83,0;78,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\tree-manager.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",TreeManagerService,beforeEach,expect,""TreeManagerService"",configureTestingModule,service,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\tree-manager.service.ts;2,0;6,061;0,274;6,774;5575,796;158,0;309,766;37,0;823,094;31,0;70,0;"puzzleAlgorithmType,initializeZoomValue,puzzleAlgorithManagerService,""toBack"",functionalityMapping,manageImageLoaderConfig,""imageGallery"",""zoomCoordinates"",""imageLoader"",initializeZoomCoordinates,featureConfig,FeatureConfigLoaderService,TreeManagerService,""method"",""service"",""zoomValue"",constructor,""showPositionOnBoard"",parseConfig,initializeHint,VariableSettingsConfigService,initializeBringToBack,""returnItem"",""toFront"",manageGalleryConfig,menuManagerService,initialize,zoomSettingsConfig,initializeReturn,initializeBringToFront,""zoom""";6,0;88,0;(),{},this,:,class,.;29,0;33,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,service,toBeTruthy,AnnotationExtractorService,describe,it,inject,""AnnotationExtractorService""";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;0
