Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
CLASS: DragAndDropImageComponent;0;1,727;36,797;0,027;3,749;426,989;20,455;23,722;12,545;81,027;7,0;9,455;;5,545;11,0;;6,273;4,818;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.spec.ts;0
CLASS: ZoomBlockComponent;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,5;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.ts;0
CLASS: ZoomMenuComponent;0;1,0;36,667;0,021;2,75;186,171;17,8;10,343;10,6;61,795;5,8;6,6;;4,8;11,2;;4,0;2,8;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.spec.ts;0
CLASS: GalleryBottomSheetComponent;0;1,0;25,0;0,005;0,75;21,055;5,0;1,17;3,5;14,037;2,0;2,0;;1,5;3,0;;2,5;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.ts;0
CLASS: InsertTemplateImageBottomSheetComponent;0;1,0;25,0;0,005;0,75;21,055;5,0;1,17;3,5;14,037;2,0;2,0;;1,5;3,0;;2,5;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.spec.ts;0
CLASS: PuzzleChooserBottomSheetComponent;0;1,0;25,0;0,005;0,75;21,055;5,0;1,17;3,5;14,037;2,0;2,0;;1,5;3,0;;2,5;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.ts;12
CLASS: TemplatePreviewBottomSheetComponent;0;1,0;25,0;0,005;0,75;21,055;5,0;1,17;3,5;14,037;2,0;2,0;;1,5;3,0;;2,5;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\material\material.module.ts;1
CLASS: ZoomManagementBottomSheetComponent;0;1,0;25,0;0,005;0,75;21,055;5,0;1,17;3,5;14,037;2,0;2,0;;1,5;3,0;;2,5;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\gallery.mock.ts;1
CLASS: GalleryComponent;0;1,0;50,0;0,005;0,833;17,803;5,0;0,989;4,333;13,592;2,667;2,667;;1,667;2,333;;2,333;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\puzzle.mock.ts;1
CLASS: InitialPageComponent;0;1,0;26,667;0,005;0,9;24,629;5,2;1,368;4,4;15,129;2,6;2,6;;1,8;2,6;;2,4;1,4;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing-all.mock.ts;7
CLASS: InsertTemplateImageComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing.mock.ts;7
CLASS: PuzzleBoardComponent;0;1,0;50,0;0,004;1,125;19,559;5,25;1,087;4,25;13,04;2,0;2,0;;2,25;3,25;;2,75;1,25;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\algorithmMap.ts;1
CLASS: PuzzleBuilderComponent;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\defaultTemplates.ts;1
CLASS: PuzzleChooserComponent;0;1,0;43,75;0,009;1,438;54,567;8,25;3,031;6,5;26,51;3,75;4,0;;2,75;4,25;;2,5;1,75;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\extendedPuzzle.ts;1
CLASS: TemplatePreviewComponent;0;1,5;16,667;0,016;2,444;229,806;11,5;12,767;8,5;47,006;4,5;5,5;;4,0;6,0;;4,5;3,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\point.ts;1
CLASS: SetZoomComponent;0;1,0;50,0;0,004;0,75;17,448;4,5;0,969;3,0;11,632;1,5;1,5;;1,5;3,0;;2,5;0,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\polygon.ts;1
CLASS: SetZoomPositionComponent;0;1,0;41,667;0,012;2,313;90,397;12,0;5,022;8,0;36,226;4,0;4,5;;4,0;7,5;;4,0;2,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\routingModel.ts;1
CLASS: ZoomManagementComponent;0;1,458;39,652;0,081;4,177;2230,883;47,958;123,938;18,667;242,109;13,625;25,75;;5,042;22,208;;4,792;13,958;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\zoomManagementInterface.ts;1
CLASS: PuzzleBuilderRoutingModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\pages\app-component\app.component.spec.ts;0
CLASS: PuzzleBuilderModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\pages\app-component\app.component.ts;3
CLASS: ComponentFactoryService;0;2,5;13,333;0,067;5,042;2017,091;39,0;112,061;17,5;200,042;12,0;22,0;;5,5;17,0;;17,5;7,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\drag-and-drop-image\drag-and-drop-image.component.spec.ts;0
CLASS: GameConfigurationService;0;1,5;81,25;0,028;3,652;834,968;20,0;46,387;9,5;84,778;4,75;8,0;;4,75;12,0;;4,5;3,75;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\drag-and-drop-image\drag-and-drop-image.component.ts;1
CLASS: OldPuzzleService;0;2,4;40,0;0,092;6,407;2823,56;53,6;156,864;23,0;275,449;16,0;28,6;;7,0;25,0;;13,4;9,2;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\zoom-block\zoom-block.component.spec.ts;0
CLASS: BringToBackService;0;1,5;38,068;0,026;3,391;502,581;19,0;27,921;12,0;77,888;7,25;10,25;;4,75;8,75;;10,25;4,75;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\zoom-block\zoom-block.component.ts;1
CLASS: BringToFrontService;0;1,5;38,068;0,026;3,391;502,581;19,0;27,921;12,0;77,888;7,25;10,25;;4,75;8,75;;10,25;4,75;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\zoom-menu\zoom-menu.component.spec.ts;0
CLASS: BottomLeftFabricMenuService;0;1,154;58,608;0,024;2,929;482,567;17,154;26,809;10,769;72,455;6,385;8,615;;4,385;8,538;;7,308;3,615;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\components\zoom-menu\zoom-menu.component.ts;1
CLASS: BottomRightFabricMenuService;0;1,154;58,608;0,024;2,878;459,044;17,0;25,502;10,692;71,462;6,385;8,615;;4,308;8,385;;7,308;3,615;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.spec.ts;0
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.ts;1
CLASS: PuzzleControllerManagerService2;0;1,5;31,011;0,067;4,212;1204,296;42,5;66,905;21,0;201,732;14,8;20,2;;6,2;22,3;;9,8;7,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.spec.ts;0
CLASS: TopLeftFabricMenuService;0;1,154;58,608;0,025;2,969;516,292;17,538;28,683;11,0;75,064;6,538;8,769;;4,462;8,769;;7,308;3,615;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.ts;1
CLASS: TopRightFabricMenuService;0;1,154;58,608;0,025;3,018;532,873;17,462;29,604;11,077;74,844;6,538;8,769;;4,538;8,692;;7,308;3,615;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.spec.ts;0
CLASS: DeletePuzzleServiceService;0;1,5;48,75;0,032;3,438;661,53;22,5;36,752;13,25;97,288;8,5;12,25;;4,75;10,25;;12,75;5,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.ts;1
CLASS: HelpPuzzleServiceService;0;1,5;48,75;0,036;3,58;776,293;24,5;43,127;14,0;107,563;9,25;13,75;;4,75;10,75;;13,25;5,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.spec.ts;0
CLASS: PuzzleController;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.ts;1
CLASS: PuzzleControllerManagerService;0;1,091;28,355;0,058;3,518;824,757;37,545;45,82;18,818;173,124;13,455;18,0;;5,364;19,545;;8,818;6,818;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.spec.ts;0
CLASS: ManipulationHandlerService;0;2,75;57,202;0,045;5,214;1817,637;30,625;100,98;14,625;135,411;9,0;16,375;;5,625;14,25;;12,5;5,375;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.ts;1
CLASS: ResizeHandlerService;0;2,0;37,148;0,051;4,552;1633,981;33,444;90,777;14,444;152,785;9,556;17,444;;4,889;16,0;;9,889;5,889;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.spec.ts;0
CLASS: ZoomManagerService;0;1,154;51,084;0,021;3,678;433,172;16,769;24,065;9,462;63,675;5,077;8,231;;4,385;8,538;;4,308;3,615;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.ts;1
CLASS: DrawAdjacentPointsService;0;4,286;19,834;0,248;21,851;19848,556;137,857;1102,698;35,571;743,409;22,0;70,714;;13,571;67,143;;22,0;18,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.spec.ts;0
CLASS: ImageSizeManagerService;0;2,333;11,111;0,061;12,258;3744,069;42,667;208,004;13,0;184,292;6,0;21,333;;7,0;21,333;;11,667;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.ts;1
CLASS: ManageGraphicsService;0;1,684;37,196;0,049;4,002;1304,498;32,211;72,472;15,947;148,17;10,789;17,368;;5,158;14,842;;9,211;5,421;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.spec.ts;0
CLASS: PuzzleManagerService;0;1,6;57,551;0,05;4,27;1174,605;33,2;65,256;15,133;149,731;9,8;16,267;;5,333;16,933;;6,733;4,8;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.ts;1
CLASS: DrawBordersService;0;2,692;26,0;0,137;11,726;8480,902;80,615;471,161;26,462;409,773;17,692;44,846;;8,769;35,769;;15,615;13,385;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.spec.ts;0
CLASS: PuzzleGeneratorQuadroService;0;2,625;23,892;0,118;11,154;11272,131;70,25;626,23;22,375;352,597;14,625;36,75;;7,75;33,5;;15,625;12,375;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.ts;1
CLASS: DrawBordersService2;0;2,692;26,215;0,133;11,609;8334,161;78,692;463,009;26,231;398,978;17,462;43,692;;8,769;35,0;;15,615;13,231;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.spec.ts;0
CLASS: PuzzleGeneratorQuadroService2;0;2,625;23,892;0,118;11,154;11272,131;70,25;626,23;22,375;352,597;14,625;36,75;;7,75;33,5;;15,625;12,375;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.ts;1
CLASS: ScanLineService;0;1,5;79,167;0,012;3,175;185,755;11,667;10,32;6,5;35,731;2,833;4,333;;3,667;7,333;;3,833;1,667;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.spec.ts;0
CLASS: SetPuzzleAreaOnBoardService;0;1,143;49,184;0,039;4,327;1489,038;28,429;82,724;11,357;117,059;6,786;12,929;;4,571;15,5;;6,071;4,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.ts;1
CLASS: DisableControlsService;0;1,0;9,091;0,065;4,487;880,025;45,0;48,89;20,0;194,839;15,0;27,0;;5,0;18,0;;14,0;11,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\template-preview\template-preview.component.spec.ts;0
